date,home_team,away_team,home_score,away_score
14-08-2023,Alaves,Cadiz,0,1
21-08-2023,Alaves,Sevilla,4,3
28-08-2023,Alaves,Getafe,0,1
02-09-2023,Alaves,Valencia,1,0
15-09-2023,Alaves,Vallecano,0,2
22-09-2023,Alaves,Ath Bilbao,0,2
28-09-2023,Alaves,Celta,1,1
01-10-2023,Alaves,Osasuna,0,2
08-10-2023,Alaves,Betis,1,1
22-10-2023,Alaves,Villarreal,1,1
29-10-2023,Alaves,Ath Madrid,1,2
05-11-2023,Alaves,Almeria,1,0
12-11-2023,Alaves,Barcelona,1,2
24-11-2023,Alaves,Granada,3,1
03-12-2023,Alaves,Mallorca,0,0
09-12-2023,Alaves,Las Palmas,0,1
18-12-2023,Alaves,Girona,0,3
21-12-2023,Alaves,Real Madrid,0,1
02-01-2024,Alaves,Sociedad,1,1
12-01-2024,Alaves,Sevilla,3,2
19-01-2024,Alaves,Cadiz,1,0
26-01-2024,Alaves,Almeria,3,0
03-02-2024,Alaves,Barcelona,1,3
10-02-2024,Alaves,Villarreal,1,1
18-02-2024,Alaves,Betis,0,0
24-02-2024,Alaves,Mallorca,1,1
04-03-2024,Alaves,Osasuna,0,1
10-03-2024,Alaves,Vallecano,1,0
16-03-2024,Alaves,Ath Bilbao,0,2
11-08-2023,Almeria,Vallecano,0,2
19-08-2023,Almeria,Real Madrid,1,3
26-08-2023,Almeria,Cadiz,1,1
01-09-2023,Almeria,Celta,2,3
17-09-2023,Almeria,Villarreal,1,2
23-09-2023,Almeria,Valencia,2,2
26-09-2023,Almeria,Sevilla,1,5
01-10-2023,Almeria,Granada,3,3
06-10-2023,Almeria,Ath Bilbao,0,3
22-10-2023,Almeria,Girona,2,5
28-10-2023,Almeria,Las Palmas,1,2
05-11-2023,Almeria,Alaves,0,1
11-11-2023,Almeria,Sociedad,1,3
25-11-2023,Almeria,Getafe,1,2
03-12-2023,Almeria,Betis,0,0
10-12-2023,Almeria,Ath Madrid,1,2
17-12-2023,Almeria,Mallorca,0,0
20-12-2023,Almeria,Barcelona,2,3
04-01-2024,Almeria,Osasuna,0,1
14-01-2024,Almeria,Girona,0,0
21-01-2024,Almeria,Real Madrid,2,3
26-01-2024,Almeria,Alaves,0,3
03-02-2024,Almeria,Valencia,1,2
12-02-2024,Almeria,Ath Bilbao,0,0
18-02-2024,Almeria,Granada,1,1
24-02-2024,Almeria,Ath Madrid,2,2
01-03-2024,Almeria,Celta,0,1
11-03-2024,Almeria,Sevilla,2,2
17-03-2024,Almeria,Las Palmas,1,0
12-08-2023,Ath Bilbao,Real Madrid,0,2
19-08-2023,Ath Bilbao,Osasuna,2,0
27-08-2023,Ath Bilbao,Betis,4,2
03-09-2023,Ath Bilbao,Mallorca,0,0
16-09-2023,Ath Bilbao,Cadiz,3,0
22-09-2023,Ath Bilbao,Alaves,2,0
27-09-2023,Ath Bilbao,Getafe,2,2
30-09-2023,Ath Bilbao,Sociedad,0,3
06-10-2023,Ath Bilbao,Almeria,3,0
22-10-2023,Ath Bilbao,Barcelona,0,1
29-10-2023,Ath Bilbao,Valencia,2,2
05-11-2023,Ath Bilbao,Villarreal,3,2
10-11-2023,Ath Bilbao,Celta,4,3
27-11-2023,Ath Bilbao,Girona,1,1
02-12-2023,Ath Bilbao,Vallecano,4,0
11-12-2023,Ath Bilbao,Granada,1,1
16-12-2023,Ath Bilbao,Ath Madrid,2,0
20-12-2023,Ath Bilbao,Las Palmas,1,0
04-01-2024,Ath Bilbao,Sevilla,2,0
13-01-2024,Ath Bilbao,Sociedad,2,1
20-01-2024,Ath Bilbao,Valencia,0,1
28-01-2024,Ath Bilbao,Cadiz,0,0
02-02-2024,Ath Bilbao,Mallorca,4,0
12-02-2024,Ath Bilbao,Almeria,0,0
19-02-2024,Ath Bilbao,Girona,3,2
25-02-2024,Ath Bilbao,Betis,1,3
03-03-2024,Ath Bilbao,Barcelona,0,0
10-03-2024,Ath Bilbao,Las Palmas,2,0
16-03-2024,Ath Bilbao,Alaves,2,0
14-08-2023,Ath Madrid,Granada,3,1
20-08-2023,Ath Madrid,Betis,0,0
28-08-2023,Ath Madrid,Vallecano,7,0
16-09-2023,Ath Madrid,Valencia,0,3
24-09-2023,Ath Madrid,Real Madrid,3,1
28-09-2023,Ath Madrid,Osasuna,2,0
01-10-2023,Ath Madrid,Cadiz,3,2
08-10-2023,Ath Madrid,Sociedad,2,1
21-10-2023,Ath Madrid,Celta,3,0
29-10-2023,Ath Madrid,Alaves,2,1
03-11-2023,Ath Madrid,Las Palmas,1,2
12-11-2023,Ath Madrid,Villarreal,3,1
25-11-2023,Ath Madrid,Mallorca,1,0
03-12-2023,Ath Madrid,Barcelona,0,1
10-12-2023,Ath Madrid,Almeria,2,1
16-12-2023,Ath Madrid,Ath Bilbao,0,2
19-12-2023,Ath Madrid,Getafe,3,3
23-12-2023,Ath Madrid,Sevilla,1,0
03-01-2024,Ath Madrid,Girona,3,4
22-01-2024,Ath Madrid,Granada,1,0
28-01-2024,Ath Madrid,Valencia,2,0
31-01-2024,Ath Madrid,Vallecano,2,1
04-02-2024,Ath Madrid,Real Madrid,1,1
11-02-2024,Ath Madrid,Sevilla,0,1
17-02-2024,Ath Madrid,Las Palmas,5,0
24-02-2024,Ath Madrid,Almeria,2,2
03-03-2024,Ath Madrid,Betis,2,1
09-03-2024,Ath Madrid,Cadiz,0,2
17-03-2024,Ath Madrid,Barcelona,0,3
13-08-2023,Barcelona,Getafe,0,0
20-08-2023,Barcelona,Cadiz,2,0
27-08-2023,Barcelona,Villarreal,4,3
03-09-2023,Barcelona,Osasuna,2,1
16-09-2023,Barcelona,Betis,5,0
23-09-2023,Barcelona,Celta,3,2
26-09-2023,Barcelona,Mallorca,2,2
29-09-2023,Barcelona,Sevilla,1,0
08-10-2023,Barcelona,Granada,2,2
22-10-2023,Barcelona,Ath Bilbao,1,0
28-10-2023,Barcelona,Real Madrid,1,2
04-11-2023,Barcelona,Sociedad,1,0
12-11-2023,Barcelona,Alaves,2,1
25-11-2023,Barcelona,Vallecano,1,1
03-12-2023,Barcelona,Ath Madrid,1,0
10-12-2023,Barcelona,Girona,2,4
16-12-2023,Barcelona,Valencia,1,1
20-12-2023,Barcelona,Almeria,3,2
04-01-2024,Barcelona,Las Palmas,2,1
21-01-2024,Barcelona,Betis,4,2
27-01-2024,Barcelona,Villarreal,3,5
31-01-2024,Barcelona,Osasuna,1,0
03-02-2024,Barcelona,Alaves,3,1
11-02-2024,Barcelona,Granada,3,3
17-02-2024,Barcelona,Celta,2,1
24-02-2024,Barcelona,Getafe,4,0
03-03-2024,Barcelona,Ath Bilbao,0,0
08-03-2024,Barcelona,Mallorca,1,0
17-03-2024,Barcelona,Ath Madrid,3,0
13-08-2023,Betis,Villarreal,2,1
20-08-2023,Betis,Ath Madrid,0,0
27-08-2023,Betis,Ath Bilbao,2,4
