date,home_team,away_team,home_score,away_score
13-08-2023,Brest,Lens,3,2
20-08-2023,Brest,Le Havre,2,1
26-08-2023,Brest,Marseille,0,2
02-09-2023,Brest,Rennes,0,0
17-09-2023,Brest,Reims,2,1
23-09-2023,Brest,Lyon,1,0
01-10-2023,Brest,Nice,0,0
08-10-2023,Brest,Toulouse,1,1
22-10-2023,Brest,Lille,0,1
29-10-2023,Brest,Paris SG,2,3
05-11-2023,Brest,Monaco,0,2
26-11-2023,Brest,Montpellier,3,1
03-12-2023,Brest,Clermont,3,0
07-12-2023,Brest,Strasbourg,1,1
10-12-2023,Brest,Metz,1,0
17-12-2023,Brest,Nantes,2,0
20-12-2023,Brest,Lorient,4,0
14-01-2024,Brest,Montpellier,2,0
28-01-2024,Brest,Paris SG,2,2
04-02-2024,Brest,Nice,0,0
11-02-2024,Brest,Clermont,1,1
18-02-2024,Brest,Marseille,1,0
24-02-2024,Brest,Strasbourg,3,0
03-03-2024,Brest,Le Havre,1,0
09-03-2024,Brest,Lens,0,1
17-03-2024,Brest,Lille,1,1
13-08-2023,Clermont,Monaco,2,4
20-08-2023,Clermont,Reims,0,2
27-08-2023,Clermont,Metz,0,1
03-09-2023,Clermont,Toulouse,2,2
17-09-2023,Clermont,Nantes,0,1
24-09-2023,Clermont,Le Havre,1,2
30-09-2023,Clermont,Paris SG,0,0
22-10-2023,Clermont,Lyon,2,1
27-10-2023,Clermont,Nice,0,1
05-11-2023,Clermont,Strasbourg,0,0
12-11-2023,Clermont,Lorient,1,0
25-11-2023,Clermont,Lens,0,3
29-11-2023,Clermont,Montpellier,1,1
03-12-2023,Clermont,Brest,0,3
10-12-2023,Clermont,Lille,0,0
17-12-2023,Clermont,Marseille,1,2
20-12-2023,Clermont,Rennes,1,3
14-01-2024,Clermont,Nantes,2,1
28-01-2024,Clermont,Strasbourg,1,1
04-02-2024,Clermont,Lille,0,4
11-02-2024,Clermont,Brest,1,1
18-02-2024,Clermont,Rennes,1,3
25-02-2024,Clermont,Nice,0,0
02-03-2024,Clermont,Marseille,1,5
10-03-2024,Clermont,Metz,0,1
17-03-2024,Clermont,Le Havre,2,1
13-08-2023,Le Havre,Montpellier,2,2
20-08-2023,Le Havre,Brest,1,2
27-08-2023,Le Havre,Rennes,2,2
03-09-2023,Le Havre,Lorient,3,0
17-09-2023,Le Havre,Lyon,0,0
24-09-2023,Le Havre,Clermont,2,1
01-10-2023,Le Havre,Lille,0,2
08-10-2023,Le Havre,Marseille,0,3
20-10-2023,Le Havre,Lens,0,0
29-10-2023,Le Havre,Metz,0,0
05-11-2023,Le Havre,Toulouse,2,1
11-11-2023,Le Havre,Monaco,0,0
26-11-2023,Le Havre,Nantes,0,0
03-12-2023,Le Havre,Paris SG,0,2
10-12-2023,Le Havre,Strasbourg,1,2
16-12-2023,Le Havre,Nice,3,1
20-12-2023,Le Havre,Reims,0,1
14-01-2024,Le Havre,Lyon,3,1
28-01-2024,Le Havre,Lorient,3,3
04-02-2024,Le Havre,Monaco,1,1
11-02-2024,Le Havre,Rennes,0,1
17-02-2024,Le Havre,Lille,0,3
25-02-2024,Le Havre,Reims,1,2
03-03-2024,Le Havre,Brest,0,1
10-03-2024,Le Havre,Toulouse,1,0
17-03-2024,Le Havre,Clermont,1,2
13-08-2023,Lens,Brest,2,3
20-08-2023,Lens,Rennes,1,1
26-08-2023,Lens,Paris SG,1,3
02-09-2023,Lens,Monaco,0,3
16-09-2023,Lens,Metz,0,1
24-09-2023,Lens,Toulouse,2,1
29-09-2023,Lens,Strasbourg,1,0
08-10-2023,Lens,Lille,1,1
20-10-2023,Lens,Le Havre,0,0
28-10-2023,Lens,Nantes,4,0
04-11-2023,Lens,Lorient,0,0
12-11-2023,Lens,Marseille,1,0
25-11-2023,Lens,Clermont,3,0
02-12-2023,Lens,Lyon,3,2
08-12-2023,Lens,Montpellier,0,0
16-12-2023,Lens,Reims,2,0
20-12-2023,Lens,Nice,0,2
14-01-2024,Lens,Paris SG,0,2
28-01-2024,Lens,Toulouse,2,0
03-02-2024,Lens,Nantes,1,0
10-02-2024,Lens,Strasbourg,3,1
18-02-2024,Lens,Reims,1,1
25-02-2024,Lens,Monaco,2,3
03-03-2024,Lens,Lyon,3,0
09-03-2024,Lens,Brest,1,0
16-03-2024,Lens,Nice,1,3
11-08-2023,Lille,Nice,1,1
20-08-2023,Lille,Nantes,2,0
27-08-2023,Lille,Lorient,1,4
03-09-2023,Lille,Montpellier,1,0
16-09-2023,Lille,Rennes,2,2
26-09-2023,Lille,Reims,1,2
01-10-2023,Lille,Le Havre,2,0
08-10-2023,Lille,Lens,1,1
22-10-2023,Lille,Brest,1,0
29-10-2023,Lille,Monaco,2,0
04-11-2023,Lille,Marseille,0,0
12-11-2023,Lille,Toulouse,1,1
26-11-2023,Lille,Lyon,2,0
03-12-2023,Lille,Metz,2,0
10-12-2023,Lille,Clermont,0,0
17-12-2023,Lille,Paris SG,1,1
20-12-2023,Lille,Strasbourg,1,2
14-01-2024,Lille,Lorient,3,0
28-01-2024,Lille,Montpellier,0,0
04-02-2024,Lille,Clermont,4,0
10-02-2024,Lille,Paris SG,1,3
17-02-2024,Lille,Le Havre,3,0
25-02-2024,Lille,Toulouse,1,3
02-03-2024,Lille,Reims,1,0
10-03-2024,Lille,Rennes,2,2
17-03-2024,Lille,Brest,1,1
12-08-2023,Lorient,Paris SG,0,0
20-08-2023,Lorient,Nice,1,1
27-08-2023,Lorient,Lille,4,1
03-09-2023,Lorient,Le Havre,0,3
17-09-2023,Lorient,Monaco,2,2
23-09-2023,Lorient,Nantes,3,5
01-10-2023,Lorient,Montpellier,0,3
08-10-2023,Lorient,Lyon,3,3
22-10-2023,Lorient,Rennes,2,1
28-10-2023,Lorient,Reims,0,1
04-11-2023,Lorient,Lens,0,0
12-11-2023,Lorient,Clermont,0,1
26-11-2023,Lorient,Metz,2,3
03-12-2023,Lorient,Toulouse,1,1
10-12-2023,Lorient,Marseille,2,4
17-12-2023,Lorient,Strasbourg,1,2
20-12-2023,Lorient,Brest,0,4
14-01-2024,Lorient,Lille,0,3
28-01-2024,Lorient,Le Havre,3,3
04-02-2024,Lorient,Metz,2,1
11-02-2024,Lorient,Reims,2,0
18-02-2024,Lorient,Strasbourg,3,1
24-02-2024,Lorient,Nantes,0,1
03-03-2024,Lorient,Rennes,2,1
09-03-2024,Lorient,Lyon,0,2
17-03-2024,Lorient,Monaco,2,2
13-08-2023,Lyon,Strasbourg,1,2
19-08-2023,Lyon,Montpellier,1,4
27-08-2023,Lyon,Nice,0,0
03-09-2023,Lyon,Paris SG,1,4
17-09-2023,Lyon,Le Havre,0,0
23-09-2023,Lyon,Brest,0,1
01-10-2023,Lyon,Reims,0,2
08-10-2023,Lyon,Lorient,3,3
22-10-2023,Lyon,Clermont,1,2
05-11-2023,Lyon,Metz,1,1
12-11-2023,Lyon,Rennes,1,0
26-11-2023,Lyon,Lille,0,2
02-12-2023,Lyon,Lens,2,3
06-12-2023,Lyon,Marseille,0,3
10-12-2023,Lyon,Toulouse,3,0
15-12-2023,Lyon,Monaco,1,0
20-12-2023,Lyon,Nantes,1,0
14-01-2024,Lyon,Le Havre,1,3
26-01-2024,Lyon,Rennes,2,3
04-02-2024,Lyon,Marseille,1,0
11-02-2024,Lyon,Montpellier,2,1
16-02-2024,Lyon,Nice,1,0
23-02-2024,Lyon,Metz,2,1
03-03-2024,Lyon,Lens,0,3
09-03-2024,Lyon,Lorient,2,0
15-03-2024,Lyon,Toulouse,3,2
12-08-2023,Marseille,Reims,2,1
18-08-2023,Marseille,Metz,2,2
26-08-2023,Marseille,Brest,2,0
01-09-2023,Marseille,Nantes,1,1
17-09-2023,Marseille,Toulouse,0,0
24-09-2023,Marseille,Paris SG,0,4
30-09-2023,Marseille,Monaco,2,3
08-10-2023,Marseille,Le Havre,3,0
21-10-2023,Marseille,Nice,0,1
04-11-2023,Marseille,Lille,0,0
12-11-2023,Marseille,Lens,0,1
25-11-2023,Marseille,Strasbourg,1,1
03-12-2023,Marseille,Rennes,2,0
06-12-2023,Marseille,Lyon,3,0
10-12-2023,Marseille,Lorient,4,2
17-12-2023,Marseille,Clermont,2,1
20-12-2023,Marseille,Montpellier,1,1
12-01-2024,Marseille,Strasbourg,1,1
27-01-2024,Marseille,Monaco,2,2
04-02-2024,Marseille,Lyon,0,1
09-02-2024,Marseille,Metz,1,1
18-02-2024,Marseille,Brest,0,1
25-02-2024,Marseille,Montpellier,4,1
02-03-2024,Marseille,Clermont,5,1
10-03-2024,Marseille,Nantes,2,0
17-03-2024,Marseille,Rennes,0,2
13-08-2023,Metz,Rennes,1,5
18-08-2023,Metz,Marseille,2,2
27-08-2023,Metz,Clermont,1,0
03-09-2023,Metz,Reims,2,2
16-09-2023,Metz,Lens,1,0
24-09-2023,Metz,Strasbourg,0,1
01-10-2023,Metz,Toulouse,0,3
07-10-2023,Metz,Nice,0,1
22-10-2023,Metz,Monaco,1,2
29-10-2023,Metz,Le Havre,0,0
05-11-2023,Metz,Lyon,1,1
12-11-2023,Metz,Nantes,3,1
26-11-2023,Metz,Lorient,3,2
03-12-2023,Metz,Lille,0,2
10-12-2023,Metz,Brest,0,1
17-12-2023,Metz,Montpellier,0,1
20-12-2023,Metz,Paris SG,1,3
14-01-2024,Metz,Toulouse,0,1
27-01-2024,Metz,Nice,0,1
04-02-2024,Metz,Lorient,1,2
09-02-2024,Metz,Marseille,1,1
18-02-2024,Metz,Montpellier,0,3
23-02-2024,Metz,Lyon,1,2
03-03-2024,Metz,Nantes,2,0
10-03-2024,Metz,Clermont,1,0
17-03-2024,Metz,Reims,1,2
13-08-2023,Monaco,Clermont,4,2
20-08-2023,Monaco,Strasbourg,3,0
25-08-2023,Monaco,Nantes,3,3
02-09-2023,Monaco,Lens,3,0
17-09-2023,Monaco,Lorient,2,2
22-09-2023,Monaco,Nice,0,1
30-09-2023,Monaco,Marseille,3,2
07-10-2023,Monaco,Reims,3,1
22-10-2023,Monaco,Metz,2,1
29-10-2023,Monaco,Lille,0,2
05-11-2023,Monaco,Brest,2,0
11-11-2023,Monaco,Le Havre,0,0
24-11-2023,Monaco,Paris SG,2,5
03-12-2023,Monaco,Montpellier,2,0
09-12-2023,Monaco,Rennes,2,1
15-12-2023,Monaco,Lyon,0,1
20-12-2023,Monaco,Toulouse,2,1
13-01-2024,Monaco,Reims,1,3
27-01-2024,Monaco,Marseille,2,2
04-02-2024,Monaco,Le Havre,1,1
11-02-2024,Monaco,Nice,3,2
18-02-2024,Monaco,Toulouse,1,2
25-02-2024,Monaco,Lens,3,2
01-03-2024,Monaco,Paris SG,0,0
10-03-2024,Monaco,Strasbourg,1,0
17-03-2024,Monaco,Lorient,2,2
13-08-2023,Montpellier,Le Havre,2,2
19-08-2023,Montpellier,Lyon,4,1
27-08-2023,Montpellier,Reims,1,3
03-09-2023,Montpellier,Lille,0,1
17-09-2023,Montpellier,Strasbourg,2,2
24-09-2023,Montpellier,Rennes,0,0
01-10-2023,Montpellier,Lorient,3,0
22-10-2023,Montpellier,Nantes,0,2
29-10-2023,Montpellier,Toulouse,3,0
03-11-2023,Montpellier,Paris SG,0,3
10-11-2023,Montpellier,Nice,0,0
26-11-2023,Montpellier,Brest,1,3
29-11-2023,Montpellier,Clermont,1,1
03-12-2023,Montpellier,Monaco,0,2
08-12-2023,Montpellier,Lens,0,0
17-12-2023,Montpellier,Metz,1,0
20-12-2023,Montpellier,Marseille,1,1
14-01-2024,Montpellier,Brest,0,2
28-01-2024,Montpellier,Lille,0,0
03-02-2024,Montpellier,Rennes,1,2
11-02-2024,Montpellier,Lyon,1,2
18-02-2024,Montpellier,Metz,3,0
25-02-2024,Montpellier,Marseille,1,4
03-03-2024,Montpellier,Strasbourg,2,2
08-03-2024,Montpellier,Nice,2,1
17-03-2024,Montpellier,Paris SG,2,6
13-08-2023,Nantes,Toulouse,1,2
20-08-2023,Nantes,Lille,0,2
25-08-2023,Nantes,Monaco,3,3
01-09-2023,Nantes,Marseille,1,1
17-09-2023,Nantes,Clermont,1,0
23-09-2023,Nantes,Lorient,5,3
01-10-2023,Nantes,Rennes,1,3
06-10-2023,Nantes,Strasbourg,2,1
22-10-2023,Nantes,Montpellier,2,0
28-10-2023,Nantes,Lens,0,4
05-11-2023,Nantes,Reims,0,1
12-11-2023,Nantes,Metz,1,3
26-11-2023,Nantes,Le Havre,0,0
02-12-2023,Nantes,Nice,1,0
09-12-2023,Nantes,Paris SG,1,2
17-12-2023,Nantes,Brest,0,2
20-12-2023,Nantes,Lyon,0,1
14-01-2024,Nantes,Clermont,1,2
28-01-2024,Nantes,Reims,0,0
03-02-2024,Nantes,Lens,0,1
11-02-2024,Nantes,Toulouse,2,1
17-02-2024,Nantes,Paris SG,0,2
24-02-2024,Nantes,Lorient,1,0
03-03-2024,Nantes,Metz,0,2
10-03-2024,Nantes,Marseille,0,2
16-03-2024,Nantes,Strasbourg,1,3
11-08-2023,Nice,Lille,1,1
20-08-2023,Nice,Lorient,1,1
27-08-2023,Nice,Lyon,0,0
03-09-2023,Nice,Strasbourg,2,0
15-09-2023,Nice,Paris SG,3,2
22-09-2023,Nice,Monaco,1,0
01-10-2023,Nice,Brest,0,0
07-10-2023,Nice,Metz,1,0
21-10-2023,Nice,Marseille,1,0
27-10-2023,Nice,Clermont,1,0
05-11-2023,Nice,Rennes,2,0
10-11-2023,Nice,Montpellier,0,0
26-11-2023,Nice,Toulouse,1,0
02-12-2023,Nice,Nantes,0,1
10-12-2023,Nice,Reims,2,1
16-12-2023,Nice,Le Havre,1,3
20-12-2023,Nice,Lens,2,0
13-01-2024,Nice,Rennes,0,2
27-01-2024,Nice,Metz,1,0
04-02-2024,Nice,Brest,0,0
11-02-2024,Nice,Monaco,2,3
16-02-2024,Nice,Lyon,0,1
