date,home_team,away_team,home_score,away_score
20-08-2023,Atalanta,Sassuolo,2,0
26-08-2023,Atalanta,Frosinone,1,2
02-09-2023,Atalanta,Monza,3,0
17-09-2023,Atalanta,Fiorentina,2,3
24-09-2023,Atalanta,Cagliari,2,0
27-09-2023,Atalanta,Verona,1,0
01-10-2023,Atalanta,Juventus,0,0
08-10-2023,Atalanta,Lazio,2,3
22-10-2023,Atalanta,Genoa,2,0
30-10-2023,Atalanta,Empoli,3,0
04-11-2023,Atalanta,Inter,1,2
12-11-2023,Atalanta,Udinese,1,1
25-11-2023,Atalanta,Napoli,1,2
04-12-2023,Atalanta,Torino,0,3
09-12-2023,Atalanta,Milan,3,2
18-12-2023,Atalanta,Salernitana,4,1
23-12-2023,Atalanta,Bologna,0,1
30-12-2023,Atalanta,Lecce,1,0
07-01-2024,Atalanta,Roma,1,1
15-01-2024,Atalanta,Frosinone,5,0
27-01-2024,Atalanta,Udinese,2,0
04-02-2024,Atalanta,Lazio,3,1
11-02-2024,Atalanta,Genoa,4,1
17-02-2024,Atalanta,Sassuolo,3,0
25-02-2024,Atalanta,Milan,1,1
28-02-2024,Atalanta,Inter,0,4
03-03-2024,Atalanta,Bologna,1,2
10-03-2024,Atalanta,Juventus,2,2
21-08-2023,Bologna,Milan,0,2
27-08-2023,Bologna,Juventus,1,1
02-09-2023,Bologna,Cagliari,2,1
18-09-2023,Bologna,Verona,0,0
24-09-2023,Bologna,Napoli,0,0
28-09-2023,Bologna,Monza,0,0
01-10-2023,Bologna,Empoli,3,0
07-10-2023,Bologna,Inter,2,2
22-10-2023,Bologna,Frosinone,2,1
28-10-2023,Bologna,Sassuolo,1,1
03-11-2023,Bologna,Lazio,1,0
12-11-2023,Bologna,Fiorentina,1,2
27-11-2023,Bologna,Torino,2,0
03-12-2023,Bologna,Lecce,1,1
10-12-2023,Bologna,Salernitana,2,1
17-12-2023,Bologna,Roma,2,0
23-12-2023,Bologna,Atalanta,1,0
30-12-2023,Bologna,Udinese,0,3
05-01-2024,Bologna,Genoa,1,1
14-01-2024,Bologna,Cagliari,1,2
27-01-2024,Bologna,Milan,2,2
03-02-2024,Bologna,Sassuolo,4,2
11-02-2024,Bologna,Lecce,4,0
14-02-2024,Bologna,Fiorentina,2,0
18-02-2024,Bologna,Lazio,2,1
23-02-2024,Bologna,Verona,2,0
03-03-2024,Bologna,Atalanta,2,1
09-03-2024,Bologna,Inter,0,1
15-03-2024,Bologna,Empoli,1,0
21-08-2023,Cagliari,Torino,0,0
28-08-2023,Cagliari,Inter,0,2
02-09-2023,Cagliari,Bologna,1,2
17-09-2023,Cagliari,Udinese,0,0
24-09-2023,Cagliari,Atalanta,0,2
27-09-2023,Cagliari,Milan,1,3
02-10-2023,Cagliari,Fiorentina,0,3
08-10-2023,Cagliari,Roma,1,4
22-10-2023,Cagliari,Salernitana,2,2
29-10-2023,Cagliari,Frosinone,4,3
05-11-2023,Cagliari,Genoa,2,1
11-11-2023,Cagliari,Juventus,1,2
26-11-2023,Cagliari,Monza,1,1
