date,home_team,away_team,home_score,away_score
25-07-2021,Chornomorets,Desna,3,0
31-07-2021,Chornomorets,Dnipro-1,0,3
06-08-2021,Chornomorets,Metalist 1925 Kharkiv,3,2
16-08-2021,Chornomorets,FC Mariupol,2,3
21-08-2021,Chornomorets,Shakhtar Donetsk,0,3
27-08-2021,Chornomorets,Oleksandria,2,2
12-09-2021,Chornomorets,Minai,2,2
19-09-2021,Chornomorets,Zorya Luhansk,3,0
27-09-2021,Chornomorets,Inhulets,1,1
02-10-2021,Chornomorets,Kolos Kovalivka,2,1
18-10-2021,Chornomorets,Veres Rivne,0,1
23-10-2021,Chornomorets,Lviv,1,1
01-11-2021,Chornomorets,Vorskla Poltava,0,0
06-11-2021,Chornomorets,Rukh Vynnyky,4,3
19-11-2021,Chornomorets,Dynamo Kyiv,1,6
27-11-2021,Chornomorets,Desna,0,1
06-12-2021,Chornomorets,Dnipro-1,3,1
12-12-2021,Chornomorets,Metalist 1925 Kharkiv,2,1
25-07-2021,Desna,Chornomorets,3,0
01-08-2021,Desna,FC Mariupol,1,2
09-08-2021,Desna,Inhulets,2,0
14-08-2021,Desna,Dnipro-1,2,1
22-08-2021,Desna,Dynamo Kyiv,4,0
29-08-2021,Desna,Veres Rivne,0,4
12-09-2021,Desna,Vorskla Poltava,2,2
17-09-2021,Desna,Rukh Vynnyky,1,0
26-09-2021,Desna,Metalist 1925 Kharkiv,1,2
03-10-2021,Desna,Zorya Luhansk,2,0
17-10-2021,Desna,Minai,0,0
22-10-2021,Desna,Oleksandria,1,1
30-10-2021,Desna,Shakhtar Donetsk,4,1
07-11-2021,Desna,Lviv,0,2
21-11-2021,Desna,Kolos Kovalivka,0,1
27-11-2021,Desna,Chornomorets,0,1
05-12-2021,Desna,FC Mariupol,3,3
10-12-2021,Desna,Inhulets,2,1
26-07-2021,Dnipro-1,Vorskla Poltava,2,2
31-07-2021,Dnipro-1,Chornomorets,0,3
07-08-2021,Dnipro-1,FC Mariupol,2,1
14-08-2021,Dnipro-1,Desna,2,1
21-08-2021,Dnipro-1,Rukh Vynnyky,2,0
28-08-2021,Dnipro-1,Metalist 1925 Kharkiv,1,2
